product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url
B0B81VJHZJ,2,MERICARGO Portable Blender 32oz Large Capacity,Mini Blender for Shakes and Smoothies,25.90,29.70,MERICARGO,MR-ZZ01-BL1-US2,MR-ZZ01-BL1-US2,3.1 x 11.1,1.14 lbs,519,3.6 out of 5 stars,https://www.amazon.com/Portable-Capacity-MERICARGO-Smoothies-Rechargeable/dp/B0B81VJHZJ/,https://m.media-amazon.com/images/I/61cwwBwTJQL.jpg
B07QDS4N4K,2,Personal Blender with 2 x 20oz Travel Bottle and Coffee/Spices Jar,Portable Smoothie Blender and Coffee Grinder in One,39.99,39.99,Yabano,,,10.6D x 8.5 x 6.6,1.25 lbs,"2,193",4.4 out of 5 stars,https://www.amazon.com/Personal-Portable-Smoothie-Smoothies-Yabano/dp/B07QDS4N4K/,https://m.media-amazon.com/images/I/71Gvp-KDaJL.jpg
B0BDMXCNCT,2,Fresh Juice Portable Bottle Blender - Personal Blender for Smoothies,Baby Food and Protein Shakes On the go - Mini Small Hand Mixer for Home,54.89,,Fresh Juice,,,4D x 4 x 10.5,1.5 lbs,57,3.1 out of 5 stars,https://www.amazon.com/Fresh-Juice-Portable-Bottle-Blender/dp/B0BDMXCNCT/,https://m.media-amazon.com/images/I/51YwuchobBL.jpg
B08LKS51FB,2,purple tree Protein Shake Bottle,Leak Proof Mixer Cup with Stainless Steel Blending Ball,9.95,,,,,,,422,4.5 out of 5 stars,https://www.amazon.com/Protein-Stainless-Blending-Hydration-Supplement/dp/B08LKS51FB/,https://m.media-amazon.com/images/I/61B4MDG-PnL.jpg
B0BDNHWCVC,2,Portable Smoothie blender Glass bottle Mini USB rechargeable 2 battery Handheld Shakes blend Cup USB juicer Cordless Personal smoothies maker mixer,,50.99,,ROSEVIEW,,,3D x 3 x 9.5,2 lbs,8,4.3 out of 5 stars,https://www.amazon.com/Smoothie-Portable-ROSEVIEW-rechargeable-smoothies/dp/B0BDNHWCVC/,https://m.media-amazon.com/images/I/61-EoDj28iL.jpg
B09JZZM136,2,BlenderBottle Marvel Strada Shaker Cup Insulated Stainless Steel Water Bottle with Wire Whisk,24-Ounce,34.99,,BlenderBottle,C04822,Marvel Strada Shaker Cup,4.34 x 8.98,12.3 oz,265,4.8 out of 5 stars,https://www.amazon.com/BlenderBottle-Insulated-Stainless-Bottle-Spiderman/dp/B09JZZM136/,https://m.media-amazon.com/images/I/71ZuA8Jza3L.jpg
B0B5YK9DKS,2,Coldest Shaker Bottle - Protein Blender Shaker Cup for Protein Mixes Insulated Chug lid Bottle,Bottle Fits Sip Cirkul Lid (46 oz,50.99,,The Coldest Water,1,shakerbottle,13.78 x 5.35 x 4.09,1.2 lbs,287,4.5 out of 5 stars,https://www.amazon.com/COLDEST-Perfect-Blender-Cocktails-Insulated/dp/B0B5YK9DKS/,https://m.media-amazon.com/images/I/61l1eP76AUL.jpg
B0BWF2TQL4,2,COKUNST Portable Blender for Shakes and Smoothies,BPA-Free USB Rechargeable 16oz Personal Blender Portable with 6 Blades,18.99,19.99,COKUNST,PSB-3,,3.7D x 3.7 x 8.5,1.32 lbs,983,4.1 out of 5 stars,https://www.amazon.com/COKUNST-Portable-Smoothies-BPA-Free-Rechargeable/dp/B0BWF2TQL4/,https://m.media-amazon.com/images/I/61ehnoJguxL.jpg
B0968XS26Z,2,BlenderBottle ProStak Twist n’ Lock Storage Jars Expansion 3-Pak with Removable Handle,100cc+150cc+250cc,12.43,,BlenderBottle,C04877,ProStak Twist n’ Lock Storage Jars Expansion 3-Pak with Removable Handle,3.08 x 6.61,6.7 oz,275,4.8 out of 5 stars,https://www.amazon.com/BlenderBottle-Motivational-Expansion-Removable-Fearless/dp/B0968XS26Z/,https://m.media-amazon.com/images/I/61LCC+Oq-8S.jpg
B0BBDYY3Q1,2,2Pack Reusable Neoprene Insulator Water bottle holder Sleeves with Handle Compatible with 28 oz Blender Bottle(Fits 28oz Blender,Party Flamingo + Leopard print(2 Pack)),13.99,,AJLTPA,,,3.54 x 6.5,2.39 oz,1,5.0 out of 5 stars,https://www.amazon.com/2Pack-Reusable-Neoprene-Insulator-Compatible-Flamingo/dp/B0BBDYY3Q1/,https://m.media-amazon.com/images/I/81LKsVXiWbL.jpg
B0C7HCYMSF,2,Onkuly 6 Pcs Shaker Balls Replacement Shaker Bottle Ball 2 Sizes Stainless Steel Mixing Balls for Protein Shaker,Drinking Bottle,6.58,,Onkuly,6,Shaker balls,2.1 x 1.2,2.39 oz,11,4.9 out of 5 stars,https://www.amazon.com/Onkuly-Replacement-Stainless-Protein-Drinking/dp/B0C7HCYMSF/,https://m.media-amazon.com/images/I/71paBy99uQL.jpg
B0CG56VL5N,2,2 Pcs Silver 2 Inch 304 Stainless Steel Replacement Shaker Ball Wire Whisk Shaker Mixer Mixing Ball Bottle Cup Blend Shaker Bottle Cocktail Shakers,,9.99,,BWESOO,,,6.26 x 3.74 x 1.85,0.634 oz,,,https://www.amazon.com/Silver-Stainless-Replacement-Cocktail-Shakers/dp/B0CG56VL5N/,https://m.media-amazon.com/images/I/61lTfHDz+gL.jpg
B07V7TLC6T,2,BlenderBottle Classic Loop Top Shaker Bottle 3-Pack,28 oz (Navy),33.04,,Blender Bottle,,,10.5 x 8.9 x 3.3,1.05 lbs,47,4.8 out of 5 stars,https://www.amazon.com/BlenderBottle-Classic-Shaker-Bottle-3-Pack/dp/B07V7TLC6T/,https://m.media-amazon.com/images/I/71Q+Fc10nZL.jpg
B06XFXRGJ1,2,BLNDR BOTTLE CLASSIC28OZ by BLENDERBOTTLE MfrPartNo SC00504,,33.68,,BlenderBottle,PN/74442,,10.4 x 9.1 x 3.4,1.06 lbs,76,4.3 out of 5 stars,https://www.amazon.com/BOTTLE-CLASSIC28OZ-BLENDERBOTTLE-MfrPartNo-SC00504/dp/B06XFXRGJ1/,https://m.media-amazon.com/images/I/81GSHZcxtdL.jpg
B0BXH1Q8P2,2,Portable Blender,Mini Juice Blender For Shakes and Smoothies,29.99,,MBANKO,,,4.5D x 4 x 9,1.26 lbs,36,4.4 out of 5 stars,https://www.amazon.com/Portable-Blender-Smoothies-Personal-Rechargeable/dp/B0BXH1Q8P2/,https://m.media-amazon.com/images/I/71Y15Feuz6L.jpg
B0C4HDD91X,2,Jabtraxx Portable Blender,Personal Size Blender for Shakes and Smoothies with 6 Blades,27.99,,Jabtraxx,,,7.09D x 3.94 x 11.42,1.87 lbs,1,5.0 out of 5 stars,https://www.amazon.com/Jabtraxx-Portable-Personal-Smoothies-Rechargeable/dp/B0C4HDD91X/,https://m.media-amazon.com/images/I/71Mzl90XuNL.jpg
B0BGZZ3222,2,Portable Blender,Personal Blender for Shakes and Smoothies,16.39,,FIXRO,FIXRO-PB01,,3.15D x 3.15 x 9.37,14.4 oz,14,4.3 out of 5 stars,https://www.amazon.com/Portable-Personal-Smoothies-Rechargeable-Traveling/dp/B0BGZZ3222/,https://m.media-amazon.com/images/I/51FcYbhIl2L.jpg
B0BBCR45JN,2,2Pack Reusable Neoprene Insulator Water bottle holder Sleeves with Handle Compatible with 28 oz Blender Bottle(Fits 28oz Blender,Floral Sugar Skull + Blue Cheetah(2 Pack)),13.99,,AJLTPA,,,7.09 x 5.79 x 1.89,3.17 oz,6,3.5 out of 5 stars,https://www.amazon.com/2Pack-Reusable-Neoprene-Insulator-Sleeves-Compatible/dp/B0BBCR45JN/,https://m.media-amazon.com/images/I/81zHbgLW-DL.jpg
B0C6NFB36K,2,Owala Silicone Water Bottle Boot,Anti-Slip Protective Sleeve for Water Bottle,6.99,,BlenderBottle,C06266,Bottle Boot,3.13 x 2.71,1.76 oz,64,4.8 out of 5 stars,https://www.amazon.com/Owala-Silicone-Anti-Slip-Protective-Stainless/dp/B0C6NFB36K/,https://m.media-amazon.com/images/I/41X2+uc9+4L.jpg
