product_id,marketplace_id,product_title,title_desc,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_name,seller_url,status
B00443H9IA,,,,,,,,,,,,,,,,,"
                                    "
B00443MTTY,,,,,,,,,,,,,,,,,"
                                    "
B00443IH7W,,,,,,,,,,,,,,,,,"
                                    "
B00443H9SU,,,,,,,,,,,,,,,,,"
                                    "
B00443N78Q,,,,,,,,,,,,,,,,,"
                                    "
B00449RA06,,,,,,,,,,,,,,,,,"
                                    "
B00449YJSM,,,,,,,,,,,,,,,,,"
                                    "
B004BF4IIU,,,,,,,,,,,,,,,,,"
                                    "
B0044A2PBO,,,,,,,,,,,,,,,,,"
                                    "
B0046Z5PAU,,,,,,,,,,,,,,,,,"
                                    "
B004BF63SI,,,,,,,,,,,,,,,,,"
                                    "
B004BF63RO,,,,,,,,,,,,,,,,,"
                                    "
B0044UZ87M,,,,,,,,,,,,,,,,,"
                                    "
B004BF7PLW,,,,,,,,,,,,,,,,,"Uni NanoDia Color Mechanical Pencil Leads 0.5mm 7 Color Set, 7 Pack/total 140 Leads"
B004CFFKCM,,,,,,,,,,,,,,,,,"
                                    "
B004E2IPKW,,,,,,,,,,,,,,,,,"
                                    "
B004E2MR6U,,,,,,,,,,,,,,,,,"
                                    "
B004E2KFAU,,,,,,,,,,,,,,,,,"
                                    "
B004E2OX4O,,,,,,,,,,,,,,,,,How to return the item?
B004E2RM9C,,,,,,,,,,,,,,,,,"
                                    "
B004E2TQTQ,,,,,,,,,,,,,,,,,"
                                    "
B004E3HSDG,,,,,,,,,,,,,,,,,"
                                    "
B004IP3ZLE,,,,,,,,,,,,,,,,,"
                                    "
B004I2HLQC,,,,,,,,,,,,,,,,,"
                                    "
B004IQHXWA,,,,,,,,,,,,,,,,,"
                                    "
B004IPYHDO,,,,,,,,,,,,,,,,,"
                                    "
B004MLRSA8,,,,,,,,,,,,,,,,,"
                                    "
B004L4O6J2,,,,,,,,,,,,,,,,,"
                                    "
B004MYC22O,,,,,,,,,,,,,,,,,"uni-ball Kuru Toga Mechanical Pencil with 0.7 mm Lead Refills & Pencil Erasers, HB #2"
B004NNPYK6,,,,,,,,,,,,,,,,,"
                                    "
B004NNKHOY,,,,,,,,,,,,,,,,,"
                                    "
B004NO7XPY,,,,,,,,,,,,,,,,,"
                                    "
B004NO7XQI,,,,,,,,,,,,,,,,,"
                                    "
B004ORYZTC,,,,,,,,,,,,,,,,,"
                                    "
B0052SHRR4,,,,,,,,,,,,,,,,,"
                                    "
B004SH1XV6,,,,,,,,,,,,,,,,,"
                                    "
B004YFEGH0,,,,,,,,,,,,,,,,,"
                                    "
B004P3TXME,,,,,,,,,,,,,,,,,"
                                    "
B004WAJSEI,,,,,,,,,,,,,,,,,Delivery
B0054QID9A,,,,,,,,,,,,,,,,,"
                                    "
B004OHNR0A,,,,,,,,,,,,,,,,,"Uniball Kuru Toga Elite Mechanical Pencil Starter Kit with Silver Barrel and 0.5mm Tip, 60 Lead Refills, and 5 Pencil Eraser Refills, HB #2, Office Supplies, School Supplies, Drafting"
B00551DMIQ,,,,,,,,,,,,,,,,,"
                                    "
B005BL9EJG,,,,,,,,,,,,,,,,,"
                                    "
B005B2UYGM,,,,,,,,,,,,,,,,,Delivery
B005BL9G4Y,,,,,,,,,,,,,,,,,Delivery
B005H3J6GE,,,,,,,,,,,,,,,,,"
                                    "
B005BL9I0Q,,,,,,,,,,,,,,,,,"
                                    "
B0055QGYTA,,,,,,,,,,,,,,,,,"Uni-ball Signo Gel Ink Pen, Black, 0.38mm, Pack of 10"
B005EWRRSW,,,,,,,,,,,,,,,,,Delivery
B005NXE92E,,,,,,,,,,,,,,,,,"
                                    "
B0065CDYUA,,,,,,,,,,,,,,,,,"
                                    "
B005HNZ5D2,,,,,,,,,,,,,,,,,"Uniball Signo 207 Gel Pen 12 Pack, 0.7mm Medium Purple Pens, Gel Ink Pens Office Supplies Sold By Uniball Are Pens, Ballpoint Pen, Colored Pens, Gel Pens, Fine Point, Smooth Writing Pens"
B005O0TOA8,,,,,,,,,,,,,,,,,"
                                    "
B006CQS76K,,,,,,,,,,,,,,,,,"
                                    "
B005HNZ5T6,,,,,,,,,,,,,,,,,"Uniball Signo 207 Gel Pen 12 Pack, 0.7mm Medium Purple Pens, Gel Ink Pens Office Supplies Sold By Uniball Are Pens, Ballpoint Pen, Colored Pens, Gel Pens, Fine Point, Smooth Writing Pens"
B006CQSVZW,,,,,,,,,,,,,,,,,Rotring 600 Mechanical Pencil 0.5 mm Black
B006GFJJXM,,,,,,,,,,,,,,,,,"
                                    "
B006R6BSFW,,,,,,,,,,,,,,,,,"
                                    "
B0071DEXXY,,,,,,,,,,,,,,,,,"
                                    "
B0076IYGUO,,,,,,,,,,,,,,,,,"
                                    "
B006UGSZ8W,,,,,,,,,,,,,,,,,"
                                    "
B005DY9FIG,,,,,,,,,,,,,,,,,"
                                    "
B006GFJYXC,,,,,,,,,,,,,,,,,$22.85
B0079G11WE,,,,,,,,,,,,,,,,,"
                                    "
B007G977J0,,,,,,,,,,,,,,,,,"
                                    "
